name,platform,membership,title_id,product_id,concept_id,entitlement_id,is_preorder,is_downloadable,image_url,store_url
Gotham Knights,PS5,NONE,PPSA07257_00,EP1018-PPSA07257_00-GOTHAMKNIGHTS000,,EP1018-PPSA07257_00-GOTHAMKNIGHTS000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA07257_00/app/info/47/fi_1c2545cd8b30f062d4c59ce65732f0efbe732c4921efe3b31368b77a13ec3d91/icon0.png,https://store.playstation.com/product/EP1018-PPSA07257_00-GOTHAMKNIGHTS000
Returnal,PS5,PS_PLUS,PPSA01285_00,EP9000-PPSA01285_00-RETURNALGAME0001,,EP9000-PPSA01285_00-RETURNAL00000000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA01285_00/app/info/43/fi_c63836010a7fbda33f64d2c423cde5e09d959695b3c1233e60542e2c705520a4/icon0.png,https://store.playstation.com/product/EP9000-PPSA01285_00-RETURNALGAME0001
SUPERHOT,PS4,PS_PLUS,CUSA08144_00,EP2477-CUSA08144_00-EUSUPERHOTGAME00,,EP2477-CUSA08144_00-EUSUPERHOTGAME00,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA08144_00/4/i_0d7c32058ae08eb12f53f3d5a1ce70666894576fb28c9d0cdeb0828cc01192e5/i/icon0.png,https://store.playstation.com/product/EP2477-CUSA08144_00-EUSUPERHOTGAME00
Injustice 2,PS4,PS_PLUS,CUSA05459_00,EP1018-CUSA05459_00-INJUSTICE2000000,,EP1018-CUSA05459_00-INJUSTICE2000000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05459_00/4/i_b1c53d2b0d4a341b9ae6153450654aff650356d8500423a9090bb08cd041a038/i/icon0.png,https://store.playstation.com/product/EP1018-CUSA05459_00-INJUSTICE2000000
HOT WHEELS UNLEASHED™,PS4,PS_PLUS,CUSA25503_00,EP4356-PPSA02325_00-HWUPSPLUS0000000,,EP4356-CUSA25503_00-HWUNLEASHEDFGAME,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA25503_00/4/i_be2a608b8725d4dd2a3201e60a9a1da3ec166698126e7681b9ff5dcd9c84f3e9/i/icon0.png,https://store.playstation.com/product/EP4356-PPSA02325_00-HWUPSPLUS0000000
HOT WHEELS UNLEASHED™,PS5,PS_PLUS,PPSA02325_00,EP4356-PPSA02325_00-HWUPSPLUS0000000,,EP4356-PPSA02325_00-HWUNLEASHEDFGAME,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02325_00/app/info/137/fi_1d08f392adf0a8ffc0693787e390d147bd624b26ba785ce63c07076da2593ad2/icon0.png,https://store.playstation.com/product/EP4356-PPSA02325_00-HWUPSPLUS0000000
Marvel's Guardians of the Galaxy,PS4,PS_PLUS,CUSA24103_00,EP0082-PPSA01750_00-DXM0000000000001,,EP0082-CUSA24103_00-DXM0000000000001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA24103_00/3/i_43a85e5c0e7876c6e293d2192f2093fb9fd97b46a4cd0ccf28eb22c75135d2bb/i/icon0.png,https://store.playstation.com/product/EP0082-PPSA01750_00-DXM0000000000001
Marvel's Guardians of the Galaxy,PS5,PS_PLUS,PPSA01750_00,EP0082-PPSA01750_00-DXM0000000000001,,EP0082-PPSA01750_00-DXM0000000000001,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA01750_00/app/info/29/fi_97866f56293b3a8cd43047d8f7f21b73f31e521b3908f7ed40eb38c0a056963d/icon0.png,https://store.playstation.com/product/EP0082-PPSA01750_00-DXM0000000000001
Little Nightmares,PS4,NONE,CUSA05952_00,EP0700-CUSA05952_00-LITTLENIGHTMARES,,EP0700-CUSA05952_00-LITTLENIGHTMARES,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA05952_00/4/i_180e40677dc525aece20a7825a4af48464ec3fe0feffcc0f6d23d708af4975fa/i/icon0.png,https://store.playstation.com/product/EP0700-CUSA05952_00-LITTLENIGHTMARES
Yakuza: Like A Dragon,PS4,PS_PLUS,CUSA16745_00,EP0177-PPSA02384_00-LIKEADRAGON00000,,EP0177-CUSA16745_00-LIKEADRAGON00000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA16745_00/1/i_7b2f4e6eb77ae1f364b1c3be21ea7326c6baaa7c12cd5351fddaf756a0029a47/i/icon0_05.png,https://store.playstation.com/product/EP0177-PPSA02384_00-LIKEADRAGON00000
Yakuza: Like A Dragon,PS5,PS_PLUS,PPSA02384_00,EP0177-PPSA02384_00-LIKEADRAGON00000,,EP0177-PPSA02384_00-LIKEADRAGON00000,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02384_00/app/info/55/f_b6c7af56cae65c91d56d1c6e47f8c17b50e5e780299acc2c5f15b6a9ce2a6644/icon0.png,https://store.playstation.com/product/EP0177-PPSA02384_00-LIKEADRAGON00000
Tony Hawk's Pro Skater 1 + 2,PS4,PS_PLUS,CUSA20464_00,EP0002-PPSA02177_00-TH12RTHEGAME0001,,EP0002-CUSA20464_00-TH12RTHEGAME0001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA20464_00/2/i_b6d2ada314462de3d252e2ecefc37659c22e1d1224bf4df0e02466a700afafd9/i/icon0.png,https://store.playstation.com/product/EP0002-PPSA02177_00-TH12RTHEGAME0001
Tony Hawk's™ Pro Skater™ 1 + 2,PS5,PS_PLUS,PPSA02177_00,EP0002-PPSA02177_00-TH12RTHEGAME0001,,EP0002-PPSA02177_00-TH12RTHEGAME0001,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA02177_00/app/info/7/f_774dea14a4e0b54a7a4a782bdca2b3e0cc1dd957e0d76164cc8121d4c7428709/icon0.png,https://store.playstation.com/product/EP0002-PPSA02177_00-TH12RTHEGAME0001
The Dark Pictures Anthology: Man of Medan,PS4,NONE,CUSA14102_00,EP0700-CUSA14102_00-SMGDARKPICTURESA,,EP0700-CUSA14102_00-SMGDARKPICTURESA,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA14102_00/6/i_9bd8e21ae25897df55a62b9000c95996476a9f064d2eefc73164fe682145ac61/i/icon0.png,https://store.playstation.com/product/EP0700-CUSA14102_00-SMGDARKPICTURESA
Crash Bandicoot™ 4: It's About Time,PS4,PS_PLUS,CUSA23470_00,EP0002-PPSA02433_00-CB4THEGAME000001,,EP0002-CUSA23470_00-CB4THEGAME000001,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA23470_00/1/i_6d2bb4a89db0bddf026e4b591da346b60535f7c3888c5b3c4498a96a40f0ff22/i/icon0.png,https://store.playstation.com/product/EP0002-PPSA02433_00-CB4THEGAME000001
Fall Guys: Ultimate Knockout,PS4,NONE,CUSA29237_00,EP1464-PPSA04478_00-FALLGUYS00000000,,EP1464-CUSA29237_00-FALLGUYS00000000,False,True,https://image.api.playstation.com/gs2-sec/appkgo/prod/CUSA29237_00/3/i_f0064eb90fbcaa7e93247b920cd5702108ca5a3544a2d3340526c6338c9a562a/i/icon0.png,https://store.playstation.com/product/EP1464-PPSA04478_00-FALLGUYS00000000
Fall Guys,PS5,NONE,PPSA04478_00,EP1464-PPSA04478_00-FALLGUYS00000000,,EP1464-PPSA04478_00-XXXXXXXXXXXXXXXX,False,True,https://image.api.playstation.com/sgst/prod/00/PPSA04478_00/app/info/94/fi_60db562f8e7aab5041368b176dc15c636f84b4227f398b3cadaf704e8598b92d/icon0.png,https://store.playstation.com/product/EP1464-PPSA04478_00-FALLGUYS00000000
